Date,Close
6/8/2018 16:00:00,55.05
6/11/2018 16:00:00,54.52
6/12/2018 16:00:00,54.82
6/13/2018 16:00:00,55.03
6/14/2018 16:00:00,55.54
6/15/2018 16:00:00,55.11
6/18/2018 16:00:00,53.22
6/19/2018 16:00:00,52.93
6/20/2018 16:00:00,53.46
6/21/2018 16:00:00,52.19
6/22/2018 16:00:00,52.5
6/25/2018 16:00:00,50.71
6/26/2018 16:00:00,49.67
6/27/2018 16:00:00,48.76
6/28/2018 16:00:00,49.25
6/29/2018 16:00:00,49.71
7/2/2018 16:00:00,50.2
7/3/2018 13:00:00,49.47
7/5/2018 16:00:00,50.75
7/6/2018 16:00:00,51.37
7/9/2018 16:00:00,51.86
7/10/2018 16:00:00,52.16
7/11/2018 16:00:00,51.2
7/12/2018 16:00:00,52.35
7/13/2018 16:00:00,52.22
7/16/2018 16:00:00,52.01
7/17/2018 16:00:00,51.75
7/18/2018 16:00:00,51.72
7/19/2018 16:00:00,51.98
7/20/2018 16:00:00,51.91
7/23/2018 16:00:00,52.31
7/24/2018 16:00:00,52.18
7/25/2018 16:00:00,52.43
7/26/2018 16:00:00,52.16
7/27/2018 16:00:00,47.68
7/30/2018 16:00:00,47.69
7/31/2018 16:00:00,48.1
8/1/2018 16:00:00,48.81
8/2/2018 16:00:00,49.48
8/3/2018 16:00:00,49.63
8/6/2018 16:00:00,49.3
8/7/2018 16:00:00,49.7
8/8/2018 16:00:00,49.96
8/9/2018 16:00:00,50.14
8/10/2018 16:00:00,48.85
8/13/2018 16:00:00,48.45
8/14/2018 16:00:00,48.12
8/15/2018 16:00:00,47.46
8/16/2018 16:00:00,47.17
8/17/2018 16:00:00,47.1
8/20/2018 16:00:00,46.5
8/21/2018 16:00:00,47.62
8/22/2018 16:00:00,47.05
8/23/2018 16:00:00,46.98
8/24/2018 16:00:00,47.66
8/27/2018 16:00:00,48.35
8/28/2018 16:00:00,48.57
8/29/2018 16:00:00,48.75
8/30/2018 16:00:00,48.24
8/31/2018 16:00:00,48.43
9/4/2018 16:00:00,47.96
9/5/2018 16:00:00,47.72
9/6/2018 16:00:00,47.26
9/7/2018 16:00:00,46.45
9/10/2018 16:00:00,46.3
9/11/2018 16:00:00,44.93
9/12/2018 16:00:00,44.93
9/13/2018 16:00:00,45.57
9/14/2018 16:00:00,45.54
9/17/2018 16:00:00,45.42
9/18/2018 16:00:00,46.1
9/19/2018 16:00:00,46.15
9/20/2018 16:00:00,47.2
9/21/2018 16:00:00,46.66
9/24/2018 16:00:00,46.91
9/25/2018 16:00:00,45.91
9/26/2018 16:00:00,45.7
9/27/2018 16:00:00,45.88
9/28/2018 16:00:00,47.29
10/1/2018 16:00:00,46.45
10/2/2018 16:00:00,48.1
10/3/2018 16:00:00,48.76
10/4/2018 16:00:00,48.13
10/5/2018 16:00:00,47.03
10/8/2018 16:00:00,47.03
10/9/2018 16:00:00,46.55
10/10/2018 16:00:00,44.8
10/11/2018 16:00:00,44.23
10/12/2018 16:00:00,44.88
10/15/2018 16:00:00,44.53
10/16/2018 16:00:00,45.94
10/17/2018 16:00:00,45.89
10/18/2018 16:00:00,44.97
10/19/2018 16:00:00,44
10/22/2018 16:00:00,45.01
10/23/2018 16:00:00,44.5
10/24/2018 16:00:00,42.42
10/25/2018 16:00:00,44.31
10/26/2018 16:00:00,45.69
10/29/2018 16:00:00,45.4
10/30/2018 16:00:00,47.76
10/31/2018 16:00:00,46.88
11/1/2018 16:00:00,48.22
11/2/2018 16:00:00,47.11
11/5/2018 16:00:00,47.97
11/6/2018 16:00:00,47.25
11/7/2018 16:00:00,48.72
11/8/2018 16:00:00,48.99
11/9/2018 16:00:00,48.11
11/12/2018 16:00:00,46.65
11/13/2018 16:00:00,47.39
11/14/2018 16:00:00,47.09
11/15/2018 16:00:00,48.11
11/16/2018 16:00:00,48.83
11/19/2018 16:00:00,48
11/20/2018 16:00:00,47.39
11/21/2018 16:00:00,47.03
11/23/2018 13:00:00,46.54
11/26/2018 16:00:00,47.45
11/27/2018 16:00:00,48.07
11/28/2018 16:00:00,48.86
11/29/2018 16:00:00,47.7
11/30/2018 16:00:00,49.31
12/3/2018 16:00:00,50.13
12/4/2018 16:00:00,47.75
12/6/2018 16:00:00,48.37
12/7/2018 16:00:00,46.24
12/10/2018 16:00:00,47.21
12/11/2018 16:00:00,47.38
12/12/2018 16:00:00,47.83
12/13/2018 16:00:00,48.29
12/14/2018 16:00:00,47.86
12/17/2018 16:00:00,47.08
12/18/2018 16:00:00,47.74
12/19/2018 16:00:00,45.57
12/20/2018 16:00:00,45.54
12/21/2018 16:00:00,44.84
12/24/2018 13:00:00,43.59
12/26/2018 16:00:00,46.19
12/27/2018 16:00:00,46.36
12/28/2018 16:00:00,46.75
12/31/2018 16:00:00,46.93
1/2/2019 16:00:00,47.08
1/3/2019 16:00:00,44.49
1/4/2019 16:00:00,47.22
1/7/2019 16:00:00,47.44
1/8/2019 16:00:00,47.74
1/9/2019 16:00:00,48.01
1/10/2019 16:00:00,48.56
1/11/2019 16:00:00,48.93
1/14/2019 16:00:00,48.35
1/15/2019 16:00:00,48.6
1/16/2019 16:00:00,48.13
1/17/2019 16:00:00,48.47
1/18/2019 16:00:00,49.19
1/22/2019 16:00:00,48.27
1/23/2019 16:00:00,47.94
1/24/2019 16:00:00,49.76
1/25/2019 16:00:00,47.04
1/28/2019 16:00:00,46.71
1/29/2019 16:00:00,46.54
1/30/2019 16:00:00,47.54
1/31/2019 16:00:00,47.12
2/1/2019 16:00:00,48.73
2/4/2019 16:00:00,49.22
2/5/2019 16:00:00,50.01
2/6/2019 16:00:00,49.9
2/7/2019 16:00:00,49.23
2/8/2019 16:00:00,48.84
2/11/2019 16:00:00,48.77
2/12/2019 16:00:00,50.01
2/13/2019 16:00:00,50.47
2/14/2019 16:00:00,50.81
2/15/2019 16:00:00,51.66
2/19/2019 16:00:00,51.4
2/20/2019 16:00:00,51.39
2/21/2019 16:00:00,51.41
2/22/2019 16:00:00,52.49
2/25/2019 16:00:00,53.1
2/26/2019 16:00:00,53.23
2/27/2019 16:00:00,53.24
2/28/2019 16:00:00,52.96
3/1/2019 16:00:00,53.3
3/4/2019 16:00:00,53.94
3/5/2019 16:00:00,53.68
3/6/2019 16:00:00,52.95
3/7/2019 16:00:00,52.6
3/8/2019 16:00:00,52.48
3/11/2019 16:00:00,53.35
3/12/2019 16:00:00,53.57
3/13/2019 16:00:00,54.37
3/14/2019 16:00:00,53.44
3/15/2019 16:00:00,54.33
3/18/2019 16:00:00,54.1
3/19/2019 16:00:00,54.17
3/20/2019 16:00:00,53.82
3/21/2019 16:00:00,54.64
3/22/2019 16:00:00,53.26
3/25/2019 16:00:00,52.78
3/26/2019 16:00:00,53.44
3/27/2019 16:00:00,53.16
3/28/2019 16:00:00,53.11
3/29/2019 16:00:00,53.7
4/1/2019 16:00:00,54.51
4/2/2019 16:00:00,54.36
4/3/2019 16:00:00,55.48
4/4/2019 16:00:00,55.92
4/5/2019 16:00:00,55.6
4/8/2019 16:00:00,55.68
4/9/2019 16:00:00,55.32
4/10/2019 16:00:00,55.75
4/11/2019 16:00:00,55.8
4/12/2019 16:00:00,56.42
